id,title,handle,body_html,published_at,created_at,updated_at,vendor,product_type,tags,variants_id,variants_title,variants_option1,variants_option2,variants_option3,variants_sku,variants_requires_shipping,variants_taxable,variants_featured_image,variants_available,variants_price,variants_grams,variants_compare_at_price,variants_position,variants_product_id,variants_created_at,variants_updated_at,images,options
8055689052333,High Power Battery & Motor Bundle - Two Blade,high-power-battery-motor-bundle-two-blade,"<p><span style=""font-size: 16px; font-family: Roboto, Arial, 'Helvetica Neue', Helvetica, sans-serif; font-style: normal;""><span style=""font-size: 16px; font-family: Roboto, Arial, 'Helvetica Neue', Helvetica, sans-serif;""><strong><span style=""color: rgb(8, 188, 193);"">The perfect pairing</span> </strong>is irresistible! For those considering both the <strong>MAX High Power Battery and the High Power Motor</strong>, you'll enjoy <strong>more power than ever before, with longer runtimes.<br><br></strong>Runtime is further increased through the use of the High Power Motor. Because of it's increased power, the use can use less throttle, becoming more efficient, using less battery!</span></span></p>
<p><meta charset=""utf-8""><span style=""font-size: 16px; font-family: Roboto, Arial, 'Helvetica Neue', Helvetica, sans-serif; font-style: normal;"">Two Blade Propeller Hub Included.</span></p>",2025-02-10T11:57:14+10:30,2025-02-10T11:52:58+10:30,2025-02-22T16:44:55+10:30,Foil Drive,All Products,,44153289703597,Default Title,Default Title,NA,NA,213/207/011,TRUE,TRUE,,TRUE,2810.00,4284,NA,1,8055689052333,2025-02-10T11:52:58+10:30,2025-02-22T16:44:55+10:30,,
8055675453613,High Power Battery & Motor Bundle - Three Blade,high-power-battery-motor-bundle-three-blade,"<p><span style=""font-size: 16px; font-family: Roboto, Arial, 'Helvetica Neue', Helvetica, sans-serif; font-style: normal;""><span style=""font-size: 16px; font-family: Roboto, Arial, 'Helvetica Neue', Helvetica, sans-serif;""><strong><span style=""color: rgb(8, 188, 193);"">The perfect pairing</span> </strong>is irresistible! For those considering both the <strong>MAX High Power Battery and the High Power Motor</strong>, you'll enjoy <strong>more power than ever before, with longer runtimes.<br><br></strong>Runtime is further increased through the use of the High Power Motor. Because of it's increased power, the use can use less throttle, becoming more efficient, using less battery!</span></span></p>
<p><meta charset=""utf-8""><span style=""font-size: 16px; font-family: Roboto, Arial, 'Helvetica Neue', Helvetica, sans-serif; font-style: normal;"">Three Blade Propeller Hub Included.</span></p>",2025-02-10T11:48:29+10:30,2025-02-10T11:43:57+10:30,2025-02-22T16:44:55+10:30,Foil Drive,All Products,,44153268207789,Default Title,Default Title,NA,NA,213/207/088,TRUE,TRUE,,TRUE,2950.00,4284,NA,1,8055675453613,2025-02-10T11:43:57+10:30,2025-02-22T16:44:55+10:30,,
8055634886829,High Power Battery & Motor Bundle,high-power-battery-motor-bundle-1,"<p><span style=""font-size: 16px; font-family: Roboto, Arial, 'Helvetica Neue', Helvetica, sans-serif; font-style: normal;""><span style=""font-size: 16px; font-family: Roboto, Arial, 'Helvetica Neue', Helvetica, sans-serif;""><strong><span style=""color: rgb(8, 188, 193);"">The perfect pairing</span> </strong>is irresistible! For those considering both the <strong>MAX High Power Battery and the High Power Motor</strong>, you'll enjoy <strong>more power than ever before, with longer runtimes.<br><br></strong>Runtime is further increased through the use of the High Power Motor. Because of it's increased power, the use can use less throttle, becoming more efficient, using less battery!</span></span></p>
<p><meta charset=""utf-8""><strong><span style=""font-size: 16px; font-family: Roboto, Arial, 'Helvetica Neue', Helvetica, sans-serif; font-style: normal;"">Propeller Hub NOT Included,</span></strong><strong><span style=""font-size: 16px; font-family: Roboto, Arial, 'Helvetica Neue', Helvetica, sans-serif; font-style: normal;"">V2 Motors only*</span></strong></p>",2025-02-10T11:42:00+10:30,2025-02-10T11:00:41+10:30,2025-02-22T16:44:55+10:30,Foil Drive,All Products,,44153165217965,Default Title,Default Title,NA,NA,213/207,TRUE,TRUE,,TRUE,2550.00,4284,NA,1,8055634886829,2025-02-10T11:00:41+10:30,2025-02-22T16:44:55+10:30,,
7987699187885,High Power Stator Only,high-power-stator-only,"<style type=""text/css""><!--td {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}--></style>
<p>This is a replacement or additional STATOR ONLY for the <a href=""https://foildrive.com/products/foil-drive-high-power-motor"" rel=""noopener"" target=""_blank"">High Power Motor</a>. <br>Please see SKU 184 if you require a standard <a href=""https://foildrive.com/products/foil-drive-v2-stator-only"" rel=""noopener"" target=""_blank"">v2 Stator</a> or SKU 207 if you require the full High Power Motor (Rotor and Stator).<br><br>This product is for the High Power Motor ONLY. The Standard <a href=""https://foildrive.com/products/foil-drive-v2-motor-bundle-20cm?"" rel=""noopener"" target=""_blank"">v2 Motor</a> is shorter.</p>",2025-02-10T10:37:51+10:30,2024-12-17T17:24:30+10:30,2025-02-22T16:44:55+10:30,Foil Drive,All Products,,43994873594029,Default Title,Default Title,NA,NA,208,TRUE,TRUE,,TRUE,650.00,620,NA,1,7987699187885,2024-12-17T17:24:30+10:30,2025-02-22T16:44:55+10:30,,
7987699056813,High Power Rotor Only,high-power-motor-can-rotor,"<p>This is a replacement or additional ROTOR ONLY for the <a href=""https://foildrive.com/products/foil-drive-high-power-motor"" rel=""noopener"" target=""_blank"">High Power Motor</a>. <br>Please see SKU 181 if you require a standard <a href=""https://foildrive.com/products/foil-drive-v2-stator-only"" rel=""noopener"" target=""_blank"">v2 Stator</a> or SKU 208 if you require the full High Power Motor (Rotor and Stator).<br><br>This product is for the High Power Motor ONLY. The Standard rotor is shorter.<br></p>",2025-02-10T10:37:12+10:30,2024-12-17T17:21:33+10:30,2025-02-22T16:44:55+10:30,Foil Drive,All Products,,43994872840365,Default Title,Default Title,NA,NA,209,TRUE,TRUE,,TRUE,250.00,356,NA,1,7987699056813,2024-12-17T17:21:33+10:30,2025-02-22T16:44:55+10:30,,
7980610519213,Foil Drive MAX High Power Battery,foil-drive-max-high-power-battery,"<p><strong>The MAX High Power Battery – The Pinnacle of Performance and Technology!</strong></p>
<p>Take your foiling to unprecedented heights with the MAX High Power Battery, the ultimate evolution in our High Power Range, designed exclusively for the Assist MAX System. Utilizing cutting-edge battery technology, this powerhouse packs significantly more capacity into the same compact size as the current MAX Power Battery, just 100g heavier.</p>
<p>MAX Sport: 332.64 Wh<br>MAX Power: 498.69 Wh<br><strong>MAX High Power: 594 Wh</strong></p>
<p><strong>That’s over 19% more capacity compared to the MAX Power Battery, giving you longer ride times and more adventures without compromise.</strong></p>
<p><strong>Pair it with the <a href=""https://foildrive.com/products/foil-drive-high-power-motor"" rel=""noopener"" target=""_blank"">High Power Motor </a>for Maximum Performance!</strong><br>When combined with the High Power Motor, this battery unlocks the system’s Maximum Boost Mode of +28% (128% throttle). Enjoy unmatched power, extended runtimes, and the ability to push the boundaries of what’s possible.<br><br>With 19% added capacity of the Battery, PLUS the added efficiency of the High Power Motor, combined a rider can see up to 40-45% runtime increase!<br></p>
<p>This battery isn’t just an upgrade—it’s a revolution. Experience the perfect blend of compact design, lightweight construction, and maximum performance to elevate every foiling session.<br><br>Step up to the MAX High Power Battery and redefine your foiling potential!<br><strong>Maximum Boost: The only battery to unlock the full 28% !</strong><br><strong>Maximum Boost Time: 18 Seconds</strong></p>
<p><strong>Only compatible with Foil Drive Assist MAX. </strong></p>
<p>It is important to properly care for your Foil Drive battery. <a href=""https://help.foildrive.com/en-US/lithium-battery-use-care-and-storage-204637"" rel=""noopener"" target=""_blank"">Click here to learn about lithium battery use, care and storage.</a></p>
<p><br></p>",2025-02-10T10:36:21+10:30,2024-12-10T13:27:42+10:30,2025-02-22T16:44:55+10:30,Foil Drive Pty Ltd,All Products,,43981256523949,Default Title,Default Title,NA,NA,213,TRUE,TRUE,,TRUE,1650.00,3084,NA,1,7980610519213,2024-12-10T13:27:42+10:30,2025-02-22T16:44:55+10:30,,
7971858907309,Foil Drive High Power Motor,foil-drive-high-power-motor,"<p><strong>Unleash More Power with the High Power Motor Upgrade for Gen2 Foil Drive!</strong></p>
<p>Take your foiling experience to the next level with the High Power Motor, the ultimate upgrade for Gen2 systems. This advanced motor is designed for riders who demand more torque, thrust, and runtime, delivering peak performance without compromising compatibility. Through improved efficiency, riders can experience up to 19% more runtime.<br><br><strong>Paired with the MAX High Power Battery, riders gain the</strong> 19% added capacity of the battery. This means, with the High power Battery AND the High power Motor, riders can experience 40-45% more runtime!<br><br><strong>Key Benefits of the High Power Motor</strong></p>
<p><strong>Unmatched Low-End Torque: </strong>Perfect for heavier riders or smaller boards or foils, the High Power Motor delivers effortless take-offs with power to spare.<br><strong>Longer Runtimes:</strong> Thanks to its superior torque, you’ll need less throttle input, giving you significantly extended ride times.<br><strong>Increased Thrust: </strong>Feel the extra push when you need it most—more thrust means more versatility across all foiling disciplines.<br><strong>Smoother, Quieter Performance: </strong>Enjoy a seamless ride with enhanced efficiency and reduced noise. </p>
<p>Just 10mm longer and 160g heavier than the Standard v2 Motor, the performance gains make it a game-changer despite the larger size. It’s like fine-tuning your wing or board for optimal results!</p>
<p><span style=""color: rgb(255, 128, 0);""><strong>Note: Hub and Propellers are NOT included</strong></span></p>
<p><strong>Seamless Compatibility</strong><br>The High Power Motor is fully compatible with your Gen2 setup, requiring the <a rel=""noopener"" href=""https://foildrive.com/products/foil-drive-removable-v2-motor-cable"" target=""_blank"">v2 Removable Cable</a> and <a rel=""noopener"" href=""https://foildrive.com/products/foil-drive-v2-motor-puck"" target=""_blank"">v2 Puck.</a> Pair it with a <a rel=""noopener"" href=""https://foildrive.com/products/aluminium-propeller-and-nylon-hub-upgrade-set"" target=""_blank"">2</a> or <a rel=""noopener"" href=""ttps://foildrive.com/products/three-blade-propeller-set?"" target=""_blank"">3 Blade Propeller</a>, we recommend the 3 blade for maximum performance.</p>
<p>Note: both <a href=""https://foildrive.com/products/foil-drive-v2-motor-bundle-20cm"" rel=""noopener"" target=""_blank"">v2 motors</a> are <strong>not </strong>compatible with integrated masts. This is under development.</p>
<p>This upgrade isn’t for everyone - lighter riders may not need the extra power - but those who do can experience unparalleled efficiency and versatility. Whether you want a smoother takeoff, longer rides, or simply the best performance available, the High Power Motor is your ticket to the ultimate foiling adventure.</p>
<p><span style=""color: rgb(255, 128, 0);""><strong><br></strong></span></p>",2025-02-10T10:35:35+10:30,2024-11-28T15:46:20+10:30,2025-02-22T16:44:55+10:30,Foil Drive Pty Ltd,All Products,,43960058970285,Default Title,Default Title,NA,NA,207,TRUE,TRUE,,TRUE,900.00,1200,NA,1,7971858907309,2024-11-28T15:46:21+10:30,2025-02-22T16:44:55+10:30,,
7987698925741,High Power Motor Protection Sticker,high-power-motor-protection-sticker,"<p>Replacement Sticker for the outer can of the <a href=""https://foildrive.com/products/foil-drive-high-power-motor"" rel=""noopener"" target=""_blank"">Foil Drive High Power Motor.</a></p>
<p>The sticker acts as an outer protection for the paint on the motor. If your sticker becomes torn or ripped, it is recommended you replace it to help protect your motor. It is a good idea to ensure the surface of the motor is in good condition before applying a new sticker. If your motor requires some refurbishing head to our Info Centre for options or instructions to do it yourself.</p>",2025-02-10T10:34:43+10:30,2024-12-17T17:19:19+10:30,2025-02-22T16:44:55+10:30,vendor-unknown,All Products,,43994872676525,Default Title,Default Title,NA,NA,220,TRUE,TRUE,,TRUE,10.00,5,NA,1,7987698925741,2024-12-17T17:19:19+10:30,2025-02-22T16:44:55+10:30,,
8028425715885,Latch Assembly V2 - Assist MAX,latch-assembly-v2-assist-max,"<p><meta charset=""utf-8""><span>Replacement Latch Assembly V2 for Assist MAX. These latches have been upgraded with more reinforcement and are made out of a different material to ensure your box remains nice and tight!<br><br>If you are replacing V1 MAX Latches, these can be reviewed for Warranty Replacement, please fill in this form<strong> prior to purchasing latches</strong>.<br><br><strong><a rel=""noopener"" href=""https://contact.gorgias.help/forms/g793ik14"" target=""_blank"">Submit Latch Claim Here</a></strong><br><br><strong>Note:</strong> Initial Batch of V2 Latches are limited, we are expecting to have more available in March 2025. Those with broken latches will be prioritised ahead of those wanting peace of mind replacements.<br><br></span></p>",2025-01-24T14:32:12+10:30,2025-01-23T12:00:23+10:30,2025-02-22T16:44:55+10:30,Foil Drive Pty Ltd,All Products,,44081417191597,Default Title,Default Title,NA,NA,221,TRUE,TRUE,,TRUE,150.00,54,NA,2,8028425715885,2025-01-23T12:00:25+10:30,2025-02-22T16:44:55+10:30,,
8027791261869,Foil Drive 40v Fast Charger 8amp,foil-drive-40v-fast-charger-8amp-new-bundle,"<p>Recharge Gen2 Foil Drive Batteries in less time with the 40v FAST Foil Drive Charger 8A. With 8A of power output, this charger ensures a quick and efficient charge.</p>
<p><a href=""https://help.foildrive.com/en-US/charging-the-foil-drive-batteries-200512"" title=""Click here"" rel=""noopener"" target=""_blank"">Click here</a> to learn how to charge your Foil Drive batteries.</p>",2025-01-23T08:04:29+10:30,2025-01-22T20:54:25+10:30,2025-02-22T16:44:55+10:30,Foil Drive Pty Ltd,All Products,,44079928705197,AU,AU,NA,NA,127/128-1,TRUE,TRUE,,TRUE,400.00,1850,NA,1,8027791261869,2025-01-22T20:54:25+10:30,2025-02-22T16:44:55+10:30,,
