id,title,handle,body_html,published_at,created_at,updated_at,vendor,product_type,tags,variants_id,variants_title,variants_option1,variants_option2,variants_option3,variants_sku,variants_requires_shipping,variants_taxable,variants_featured_image,variants_available,variants_price,variants_grams,variants_compare_at_price,variants_position,variants_product_id,variants_created_at,variants_updated_at,images,options
7338554622086,Basis Quick Dry Long Sleeve,basis-quick-dry-long-sleeve,"<p>Crafted from a moisture-wicking, quick-drying semi-perforated fabric, the Basis boasts an impressive UPF rating of 50+. Its 4-way stretch and performance-oriented fit ensure durability and sun protection, making it suitable for beachside activities as well as epic long session on the water. </p>
<h3>Features:</h3>
<ul>
<li>UPF 50+ protection from the sun’s rays.</li>
<li>4-way stretch quick dry material.<br>
</li>
<li>Thumb hole sleeve providing stay in place performance.</li>
<li>Performance comfort fit.</li>
</ul>",2025-02-17T14:32:14-08:00,2025-02-14T10:23:20-08:00,2025-02-21T22:48:44-08:00,Ride Engine,Water Wear,,41589838381190,S / Granite Grey,S,Granite Grey,NA,3250723011,TRUE,TRUE,,TRUE,89.00,2268,NA,1,7338554622086,2025-02-14T10:23:21-08:00,2025-02-21T22:48:44-08:00,,
7338554622086,Basis Quick Dry Long Sleeve,basis-quick-dry-long-sleeve,"<p>Crafted from a moisture-wicking, quick-drying semi-perforated fabric, the Basis boasts an impressive UPF rating of 50+. Its 4-way stretch and performance-oriented fit ensure durability and sun protection, making it suitable for beachside activities as well as epic long session on the water. </p>
<h3>Features:</h3>
<ul>
<li>UPF 50+ protection from the sun’s rays.</li>
<li>4-way stretch quick dry material.<br>
</li>
<li>Thumb hole sleeve providing stay in place performance.</li>
<li>Performance comfort fit.</li>
</ul>",2025-02-17T14:32:14-08:00,2025-02-14T10:23:20-08:00,2025-02-21T22:48:44-08:00,Ride Engine,Water Wear,,41589838413958,M / Granite Grey,M,Granite Grey,NA,3250723013,TRUE,TRUE,,TRUE,89.00,2268,NA,2,7338554622086,2025-02-14T10:23:21-08:00,2025-02-21T22:48:44-08:00,,
7338554622086,Basis Quick Dry Long Sleeve,basis-quick-dry-long-sleeve,"<p>Crafted from a moisture-wicking, quick-drying semi-perforated fabric, the Basis boasts an impressive UPF rating of 50+. Its 4-way stretch and performance-oriented fit ensure durability and sun protection, making it suitable for beachside activities as well as epic long session on the water. </p>
<h3>Features:</h3>
<ul>
<li>UPF 50+ protection from the sun’s rays.</li>
<li>4-way stretch quick dry material.<br>
</li>
<li>Thumb hole sleeve providing stay in place performance.</li>
<li>Performance comfort fit.</li>
</ul>",2025-02-17T14:32:14-08:00,2025-02-14T10:23:20-08:00,2025-02-21T22:48:44-08:00,Ride Engine,Water Wear,,41589838446726,L / Granite Grey,L,Granite Grey,NA,3250723015,TRUE,TRUE,,TRUE,89.00,2268,NA,3,7338554622086,2025-02-14T10:23:21-08:00,2025-02-21T22:48:44-08:00,,
7338554622086,Basis Quick Dry Long Sleeve,basis-quick-dry-long-sleeve,"<p>Crafted from a moisture-wicking, quick-drying semi-perforated fabric, the Basis boasts an impressive UPF rating of 50+. Its 4-way stretch and performance-oriented fit ensure durability and sun protection, making it suitable for beachside activities as well as epic long session on the water. </p>
<h3>Features:</h3>
<ul>
<li>UPF 50+ protection from the sun’s rays.</li>
<li>4-way stretch quick dry material.<br>
</li>
<li>Thumb hole sleeve providing stay in place performance.</li>
<li>Performance comfort fit.</li>
</ul>",2025-02-17T14:32:14-08:00,2025-02-14T10:23:20-08:00,2025-02-21T22:48:44-08:00,Ride Engine,Water Wear,,41589838479494,XL / Granite Grey,XL,Granite Grey,NA,3250723017,TRUE,TRUE,,TRUE,89.00,2268,NA,4,7338554622086,2025-02-14T10:23:21-08:00,2025-02-21T22:48:44-08:00,,
6747254456454,RE Foot Strap Replacement Hardware Kit,re-foot-strap-replacement-hardware-kit,"<div class=""product-block"">
<div class=""rte"">
<p>Replacement footstrap hardware pack for all Ride Engine straps. Package Includes:</p>
<p>- 4 x Phillips head footstraps screws. M6 x 23mm self-tapping screws<br>- 4 x Phillips head footstraps screws. M6 x 22mm machine screws<br>- 4 x washerx</p>
</div>
</div>",2025-01-31T11:15:45-08:00,2022-07-15T16:37:40-07:00,2025-02-21T22:48:44-08:00,Ride Engine,Hardgood Accessories,,39818580131974,Default Title,Default Title,NA,NA,3232400000,TRUE,TRUE,,TRUE,8.00,454,NA,1,6747254456454,2022-07-15T16:37:40-07:00,2025-02-21T22:48:44-08:00,,
7239408058502,Hyperlock Rope Conversion Kit,hyperlock-rope-conversion-kit,"<p>Seeking absolute freedom? The Sliding Rope Conversion Kit for the Hyperlock system offers enhanced maneuverability, allowing smoother directional changes while riding waves. It enables riders to effortlessly engage in toe side riding and facilitates mastery in hydrofoiling. Equipped with a mini-loop connection, extended slider, and stainless-steel ring for increased durability, this kit ensures a seamless experience.</p>
<p>Sizing:</p>
<ul>
<li><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;"">Small: 8"" Spreader Bars</span></li>
<li>Large: 10"" Spreader bars</li>
</ul>
<p><strong>Features</strong></p>
<ul>
<li>5mm dyneema flying line cored rope.</li>
<li>5mm dyneema mini-loop.<br>
</li>
</ul>",2024-10-23T11:03:55-07:00,2024-07-26T13:40:54-07:00,2025-02-21T22:48:44-08:00,Ride Engine,Spreader Bars,,41353565831302,Small,Small,NA,NA,3250522004,TRUE,TRUE,,FALSE,36.00,2722,NA,1,7239408058502,2024-09-18T14:24:58-07:00,2025-02-21T22:48:44-08:00,,
7239408058502,Hyperlock Rope Conversion Kit,hyperlock-rope-conversion-kit,"<p>Seeking absolute freedom? The Sliding Rope Conversion Kit for the Hyperlock system offers enhanced maneuverability, allowing smoother directional changes while riding waves. It enables riders to effortlessly engage in toe side riding and facilitates mastery in hydrofoiling. Equipped with a mini-loop connection, extended slider, and stainless-steel ring for increased durability, this kit ensures a seamless experience.</p>
<p>Sizing:</p>
<ul>
<li><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;"">Small: 8"" Spreader Bars</span></li>
<li>Large: 10"" Spreader bars</li>
</ul>
<p><strong>Features</strong></p>
<ul>
<li>5mm dyneema flying line cored rope.</li>
<li>5mm dyneema mini-loop.<br>
</li>
</ul>",2024-10-23T11:03:55-07:00,2024-07-26T13:40:54-07:00,2025-02-21T22:48:44-08:00,Ride Engine,Spreader Bars,,41353565864070,Large,Large,NA,NA,3250522003,TRUE,TRUE,,TRUE,36.00,2722,NA,2,7239408058502,2024-09-18T14:24:58-07:00,2025-02-21T22:48:44-08:00,,
7239407992966,Hyperlock Closed Metal Loop Replacement,hyperlock-closed-metal-loop-replacement,"<p>For those seeking the utmost secure connection between the chicken loop and harness, the Hyperlock Closed Metal Loop is the answer. It eradicates any chance of false hooking or accidental unhooking. Made from durable 8mm steel and engineered with optimal geometry for all chicken loops, it’s easy to install and ensures reliable performance.</p>
<p><strong>Features</strong></p>
<ul>
<li>8mm stainless steel loop.</li>
<li>Pre-curved loop geometry.</li>
</ul>",2024-10-23T11:03:22-07:00,2024-07-26T13:40:52-07:00,2025-02-21T22:48:44-08:00,Ride Engine,Spreader Bars,,41263863660678,Default Title,Default Title,NA,NA,3250522002,TRUE,TRUE,,TRUE,44.00,2722,NA,1,7239407992966,2024-07-26T13:40:52-07:00,2025-02-21T22:48:44-08:00,,
7239407960198,Hyperlock Windsurf Metal Hook Replacement,hyperlock-windsurf-metal-hook-replacement,"<p>Harnesses equipped with the Ride Engine Hyperlock feature top-tier performance and comfort. With a simple transition to the Hyperlock Windsurf Metal Hook, tailored for windsurfing, you unlock the benefits of effortless entry and exit, along with the most intuitive and functional on-the-fly harness adjustment available.</p>
<p><strong>Features</strong></p>
<ul>
<li>8mm stainless steel hook.</li>
<li>Windsurf specific hook geometry.</li>
</ul>",2024-10-23T11:03:02-07:00,2024-07-26T13:40:52-07:00,2025-02-21T22:48:44-08:00,Ride Engine,Spreader Bars,,41263863627910,Default Title,Default Title,NA,NA,3250522001,TRUE,TRUE,,TRUE,44.00,2722,NA,1,7239407960198,2024-07-26T13:40:52-07:00,2025-02-21T22:48:44-08:00,,
7239407894662,Hyperlock Spreader Bar Replacement,hyperlock-spreader-bar-replacement,"<p>Original part replacement for the Hyperlock spreader bar. Hyperlock is ensuring seamless and highly adjustable integration with Hyperlock ratchets, this configuration offers a completely new level of harness-to-rider interaction and on the fly precise harness tension adjustment.</p>
<p><strong>Features</strong></p>
<ul>
<li>Wide surface area design.</li>
<li>Thumb screw ladder adjustment for optimized, perfect fit.</li>
<li>Thermoformed EVA spreader bar pad.</li>
<li>Easy aftermarket conversion to closed metal loop, sliding rope<br>configuration or windsurf hook geometry.</li>
</ul>",2024-10-23T11:02:27-07:00,2024-07-26T13:40:52-07:00,2025-02-21T22:48:44-08:00,Ride Engine,Spreader Bars,,41263863398534,8',8',NA,NA,3250520008,TRUE,TRUE,,TRUE,129.00,1361,NA,1,7239407894662,2024-07-26T13:40:52-07:00,2025-02-21T22:48:44-08:00,,
