id,title,handle,body_html,published_at,created_at,updated_at,vendor,product_type,tags,variants_id,variants_title,variants_option1,variants_option2,variants_option3,variants_sku,variants_requires_shipping,variants_taxable,variants_featured_image,variants_available,variants_price,variants_grams,variants_compare_at_price,variants_position,variants_product_id,variants_created_at,variants_updated_at,images,options
7501266583752,Dually V5 Hardware Pack,dually-v5-hardware-pack-1,"<p>Hardware pack for the Dually V5 Footstrap. Compatible from 2016-2020, as well as V5 and V6 Dually models.</p>
<p>Includes: Dually Hardware x 4 (Plastic piece is blue color)</p>",2025-02-20T11:07:04-08:00,2023-01-11T16:01:57-08:00,2025-02-21T22:51:41-08:00,Slingshot Sports,,,42519184933064,Default Title,Default Title,NA,NA,121380025,TRUE,TRUE,,TRUE,18.00,454,24.43,1,7501266583752,2023-01-11T16:01:57-08:00,2025-02-21T22:51:41-08:00,,
7061604532424,Universal Leash,slingwing-v2-wrist-leash,"<p>Stay safe and stay connected with the Universal Leash. Whether you are attaching it to a board or a wing, this hook-and-loop wrist cuff with a coil leash line will keep you connected. The coil style leash keeps the the leash collected and out of your way. Swivels at each end prevents it from twisting.</p>",2025-02-20T11:00:16-08:00,2021-09-21T15:24:33-07:00,2025-02-21T22:51:41-08:00,Slingshot Sports,,,40982110699720,Default Title,Default Title,NA,NA,121741100,TRUE,TRUE,,TRUE,25.00,680,39.99,1,7061604532424,2021-09-21T15:24:33-07:00,2025-02-21T22:51:41-08:00,,
6610847563976,"SlingWing Universal Harness Line (75cm, 29.5"")",slingwing-universal-harness-line-75cm-29-5,"<p>Add a harness line to your wing, and you’re hooked for good.</p>",2025-02-20T10:59:37-08:00,2021-03-30T08:54:18-07:00,2025-02-21T22:51:41-08:00,Slingshot Sports,,,39514825326792,Default Title,Default Title,NA,NA,121742002,TRUE,TRUE,,TRUE,26.39,1134,36.66,1,6610847563976,2021-03-30T08:54:18-07:00,2025-02-21T22:51:41-08:00,,
14677060977010,"6"" Wake Fin- pack of 4, Black V2",6-wake-fin-pack-of-4-black-copy,"<p>Compatible with all Slingshot wakeboards<br>Fin size .75"" x 6""</p>",2025-02-20T10:47:54-08:00,2025-02-19T09:22:19-08:00,2025-02-21T22:51:41-08:00,Slingshot Sports,,,51793841717618,Default Title,Default Title,NA,NA,1230370001,TRUE,TRUE,,TRUE,48.99,454,NA,1,14677060977010,2025-02-19T09:22:22-08:00,2025-02-21T22:51:41-08:00,,
7116888047816,2022 Coaster,2022-coaster,"<p>Our proven, no-gimmicks, skim-style cruiser that delivers the best of all worlds from beginner to expert levels. The Coaster rides fast and free - excellent for teaching newbies, carving hard, and integrating skim / skate style maneuvers into your bag of tricks!</p>",2025-02-19T09:10:31-08:00,2021-10-26T16:22:14-07:00,2025-02-21T22:51:41-08:00,Slingshot Sports,,,41214932418760,4'4,4'4,NA,NA,122238044,TRUE,TRUE,,FALSE,249.00,14061,712.21,1,7116888047816,2021-11-03T16:43:06-07:00,2025-02-21T22:51:41-08:00,,
7116888047816,2022 Coaster,2022-coaster,"<p>Our proven, no-gimmicks, skim-style cruiser that delivers the best of all worlds from beginner to expert levels. The Coaster rides fast and free - excellent for teaching newbies, carving hard, and integrating skim / skate style maneuvers into your bag of tricks!</p>",2025-02-19T09:10:31-08:00,2021-10-26T16:22:14-07:00,2025-02-21T22:51:41-08:00,Slingshot Sports,,,41214932451528,4'8,4'8,NA,NA,122238048,TRUE,TRUE,,FALSE,249.00,14061,712.21,2,7116888047816,2021-11-03T16:43:06-07:00,2025-02-21T22:51:41-08:00,,
7116888047816,2022 Coaster,2022-coaster,"<p>Our proven, no-gimmicks, skim-style cruiser that delivers the best of all worlds from beginner to expert levels. The Coaster rides fast and free - excellent for teaching newbies, carving hard, and integrating skim / skate style maneuvers into your bag of tricks!</p>",2025-02-19T09:10:31-08:00,2021-10-26T16:22:14-07:00,2025-02-21T22:51:41-08:00,Slingshot Sports,,,41214932484296,5'0,5'0,NA,NA,122238050,TRUE,TRUE,,FALSE,325.00,14061,712.21,3,7116888047816,2021-11-03T16:43:06-07:00,2025-02-21T22:51:41-08:00,,
7116888047816,2022 Coaster,2022-coaster,"<p>Our proven, no-gimmicks, skim-style cruiser that delivers the best of all worlds from beginner to expert levels. The Coaster rides fast and free - excellent for teaching newbies, carving hard, and integrating skim / skate style maneuvers into your bag of tricks!</p>",2025-02-19T09:10:31-08:00,2021-10-26T16:22:14-07:00,2025-02-21T22:51:41-08:00,Slingshot Sports,,,41214932517064,5'3,5'3,NA,NA,122238053,TRUE,TRUE,,TRUE,249.00,14061,712.21,4,7116888047816,2021-11-03T16:43:06-07:00,2025-02-21T22:51:41-08:00,,
7381392294088,Code V1,code-v1-kite,"<p>The all-new Code V1 is designed to keep kiteboarding fun. Built to provide performance versatility in all conditions for all disciplines, the Code is your new favorite kite. Put progression in your hands and watch as your skill level and confidence on the water improve with every session.</p>",2025-02-19T09:05:36-08:00,2022-07-14T16:47:19-07:00,2025-02-21T22:51:41-08:00,Slingshot Sports,,,42058610639048,4M / Blue,4M,Blue,NA,1230111004,TRUE,TRUE,,FALSE,899.99,9072,1333.00,1,7381392294088,2022-07-14T16:47:19-07:00,2025-02-21T22:51:41-08:00,,
7381392294088,Code V1,code-v1-kite,"<p>The all-new Code V1 is designed to keep kiteboarding fun. Built to provide performance versatility in all conditions for all disciplines, the Code is your new favorite kite. Put progression in your hands and watch as your skill level and confidence on the water improve with every session.</p>",2025-02-19T09:05:36-08:00,2022-07-14T16:47:19-07:00,2025-02-21T22:51:41-08:00,Slingshot Sports,,,42058610671816,5M / Blue,5M,Blue,NA,1230111005,TRUE,TRUE,,FALSE,944.99,9072,1400.00,2,7381392294088,2022-07-14T16:47:19-07:00,2025-02-21T22:51:41-08:00,,
7381392294088,Code V1,code-v1-kite,"<p>The all-new Code V1 is designed to keep kiteboarding fun. Built to provide performance versatility in all conditions for all disciplines, the Code is your new favorite kite. Put progression in your hands and watch as your skill level and confidence on the water improve with every session.</p>",2025-02-19T09:05:36-08:00,2022-07-14T16:47:19-07:00,2025-02-21T22:51:41-08:00,Slingshot Sports,,,42058610704584,6M / Blue,6M,Blue,NA,1230111006,TRUE,TRUE,,FALSE,982.49,9072,1456.00,3,7381392294088,2022-07-14T16:47:19-07:00,2025-02-21T22:51:41-08:00,,
7381392294088,Code V1,code-v1-kite,"<p>The all-new Code V1 is designed to keep kiteboarding fun. Built to provide performance versatility in all conditions for all disciplines, the Code is your new favorite kite. Put progression in your hands and watch as your skill level and confidence on the water improve with every session.</p>",2025-02-19T09:05:36-08:00,2022-07-14T16:47:19-07:00,2025-02-21T22:51:41-08:00,Slingshot Sports,,,42058610737352,7M / Blue,7M,Blue,NA,1230111007,TRUE,TRUE,,TRUE,459.00,9072,1511.00,4,7381392294088,2022-07-14T16:47:19-07:00,2025-02-21T22:51:41-08:00,,
